CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ADDED,DELETED,MODIFIED,TOTAL CHANGE,ALTER
6,0,5,3,5,1,4,108,1,76,24,0,0,0,0,NO
7,0,1,2,1,0,1,103,2,0,2,0,0,0,0,NO
10,2,9,6,9,0,8,129,2,75,14,0,0,0,0,NO
5,0,6,4,6,0,6,84,2,54,8,0,0,0,0,NO
13,0,6,12,19,2,4,211,3,59,13,0,0,0,0,NO
8,0,2,0,11,0,1,27,3,0,7,0,0,0,0,NO
3,0,1,1,1,0,1,29,2,0,1,0,0,0,0,NO
5,0,4,5,17,0,4,76,3,50,9,0,0,0,0,NO
1,0,6,3,6,1,5,41,2,72,8,0,0,0,0,NO
18,0,9,10,9,0,9,237,2,67,19,0,0,0,0,NO
22,0,10,7,23,5,5,234,3,78,27,0,0,0,0,NO
5,0,13,10,13,2,11,293,2,83,23,0,0,0,0,NO
2,0,3,2,3,0,3,55,2,33,10,0,0,0,0,NO
0,0,5,2,5,0,5,25,1,60,6,0,0,0,0,NO
16,0,4,11,17,0,3,329,3,63,8,0,0,0,0,NO
8,0,9,8,9,2,7,191,2,81,18,0,0,0,0,NO
22,0,8,3,18,0,8,149,3,77,31,0,0,0,0,NO
16,0,10,22,10,1,9,260,2,79,27,0,0,0,0,NO
7,0,25,7,25,0,25,274,2,90,30,0,0,0,0,NO
1,2,7,0,7,0,7,34,2,0,7,0,0,0,0,NO
4,0,13,3,13,4,9,126,2,71,18,0,0,0,0,NO
0,0,0,0,1,0,1,23,1,0,7,0,0,0,0,NO
11,0,6,0,9,6,3,231,2,73,18,0,0,0,0,NO
7,0,3,5,16,1,2,158,3,60,6,0,0,0,0,NO
1,0,9,9,12,2,10,236,1,75,58,0,0,0,0,NO
9,0,4,22,17,0,4,306,3,46,9,0,0,0,0,NO
1,0,8,2,8,0,8,59,1,50,16,0,0,0,0,NO
6,0,2,2,2,0,2,31,2,0,4,0,0,0,0,NO
3,0,2,0,2,0,2,18,2,0,3,0,0,0,0,NO
10,0,6,5,19,1,5,93,3,60,12,0,0,0,0,NO
0,0,1,0,1,0,1,19,2,0,3,0,0,0,0,NO
8,0,9,7,9,1,8,117,2,71,26,0,0,0,0,NO
3,0,2,1,2,0,2,36,2,50,6,0,0,0,0,NO
11,0,5,8,5,0,5,135,1,62,10,0,0,0,0,NO
12,0,2,10,15,0,2,314,3,58,3,0,0,0,0,NO
5,0,10,5,10,0,10,259,2,64,12,0,0,0,0,NO
6,0,6,11,6,1,5,183,2,62,22,0,0,0,0,NO
3,31,13,2,13,0,13,111,2,79,23,0,0,0,0,NO
4,0,3,1,16,0,3,37,3,33,3,0,0,0,0,NO
8,0,4,7,4,1,3,113,2,39,12,0,0,0,0,NO
2,0,3,0,3,0,2,31,2,0,3,0,0,0,0,NO
3,0,9,3,9,0,9,138,2,51,23,0,0,0,0,NO
10,0,4,10,17,0,4,267,3,75,5,0,0,0,0,NO
13,0,16,9,16,0,16,417,2,86,55,0,0,0,0,NO
9,0,5,4,12,0,4,71,3,85,11,0,0,0,0,NO
10,0,3,6,16,0,3,133,3,61,4,0,0,0,0,NO
6,0,6,4,6,0,6,74,2,54,11,0,0,0,0,NO
21,0,10,9,23,5,5,246,3,81,27,0,0,0,0,NO
3,0,2,1,2,0,2,22,2,0,2,0,0,0,0,NO
11,2,38,13,38,3,33,543,2,94,93,0,0,0,0,NO
4,1,4,2,4,0,4,31,2,50,6,0,0,0,0,NO
3,0,0,0,5,0,5,213,1,0,14,0,0,0,0,NO
8,0,11,9,24,0,10,189,3,74,31,0,0,0,0,NO
18,0,11,24,24,3,8,409,3,80,34,0,0,0,0,NO
0,0,1,0,4,0,1,7,3,0,1,0,0,0,0,NO
0,0,1,0,4,0,1,7,3,0,1,0,0,0,0,NO
8,2,3,3,3,0,3,165,2,11,34,0,0,0,0,NO
4,0,0,0,4,1,3,49,1,25,11,0,0,0,0,NO
3,0,0,0,13,0,13,205,1,83,42,0,0,0,0,NO
6,0,6,3,6,0,6,138,2,44,19,0,0,0,0,NO
7,0,17,6,17,0,16,140,1,81,33,0,0,0,0,NO
5,0,11,3,11,0,11,131,1,57,25,0,0,0,0,NO
5,0,0,0,10,0,10,123,1,30,31,0,0,0,0,NO
3,0,0,0,9,0,9,114,1,100,24,0,0,0,0,NO
