CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
12,0,4,17,157,0,50,yes
10,0,4,17,80,1,14,no
1,0,4,48,20,0,100,no
14,0,33,46,369,0,84,yes
5,0,20,33,119,0,81,no
1,0,4,48,20,0,100,no
5,0,13,26,149,0,58,no
2,0,6,19,30,0,50,no
1,0,4,48,19,0,0,no
3,0,8,21,40,0,62,no
12,0,10,23,114,0,63,no
2,0,5,49,25,0,60,no
6,0,15,28,87,0,73,no
12,0,4,17,53,0,75,yes
4,0,6,19,39,0,50,yes
6,0,6,19,56,0,61,yes
7,0,23,36,124,0,88,no
13,0,33,46,208,0,91,yes
11,0,14,27,159,1,67,no
1,0,16,29,78,0,90,no
1,0,9,22,43,0,77,no
8,0,5,18,65,0,60,no
1,0,2,15,13,0,0,no
29,0,23,36,219,0,95,yes
5,0,6,58,37,2,16,no
4,0,6,50,38,0,66,no
23,0,17,31,254,0,0,yes
4,0,2,15,13,0,0,yes
7,0,2,15,94,0,50,yes
5,0,2,15,48,1,0,yes
10,0,9,22,108,0,72,no
1,0,1,14,8,0,0,no
1,0,0,13,5,0,0,yes
5,0,4,17,26,1,50,no
28,0,8,21,182,0,75,no
7,0,4,17,23,0,0,no
8,0,2,15,20,1,0,no
7,0,12,25,103,0,83,no
4,0,3,16,21,0,33,no
6,0,9,22,102,0,75,no
9,0,4,17,30,0,37,no
2,0,2,20,13,1,0,no
6,0,3,47,37,0,33,yes
3,0,3,22,17,1,0,no
2,0,2,20,13,1,0,no
10,0,2,15,56,0,50,yes
4,0,8,21,52,0,62,yes
4,0,6,19,38,0,55,no
12,0,7,20,80,1,85,no
7,0,1,14,20,1,0,yes
9,0,4,17,64,0,0,yes
9,0,3,16,67,0,0,yes
1,0,4,52,27,0,25,no
5,0,3,16,75,0,0,yes
19,0,8,21,89,1,80,yes
4,0,3,16,21,0,66,no
1,0,5,49,29,0,60,no
3,0,8,22,196,0,0,no
6,0,2,15,87,1,0,yes
8,0,6,19,179,0,83,yes
5,0,11,24,176,1,9,no
5,0,1,14,8,0,0,yes
3,0,1,14,8,0,0,no
3,0,1,14,7,0,0,no
3,0,1,14,7,0,0,no
2,0,3,16,16,1,0,no
2,0,3,16,16,1,0,no
2,0,3,16,16,1,0,no
20,0,3,16,73,0,66,no
16,0,7,20,125,0,38,no
2,0,4,17,28,0,50,no
4,0,3,16,21,0,33,no
6,0,3,47,42,0,33,yes
10,0,4,17,38,0,0,no
11,3,10,23,114,0,76,yes
16,1,5,18,82,0,80,yes
11,0,2,20,40,1,0,yes
16,0,5,18,86,0,25,yes
14,0,6,19,86,0,58,yes
4,0,1,14,34,0,0,yes
8,0,9,22,100,0,66,yes
9,0,4,17,63,0,0,yes
1,0,4,52,27,0,25,no
2,0,3,32,18,2,100,no
13,0,3,16,62,0,33,no
2,1,6,29,44,1,83,no
4,0,4,17,57,0,0,yes
4,0,4,17,121,0,12,yes
1,0,2,46,11,0,0,no
4,0,3,16,67,0,0,no
2,0,3,16,18,0,0,no
7,0,3,16,34,0,0,no
3,0,3,16,32,1,0,no
1,0,2,46,13,0,100,no
15,0,3,16,86,0,66,yes
3,0,1,14,7,0,0,no
2,0,3,16,16,1,0,no
3,0,1,14,7,0,0,no
3,0,1,14,7,0,0,no
1,0,0,13,4,0,0,no
1,0,0,13,4,0,0,no
3,0,3,16,18,0,33,no
3,0,3,16,18,0,33,no
3,0,3,16,18,0,33,no
3,0,3,16,18,0,33,no
4,0,3,16,18,0,66,no
4,0,3,16,18,0,66,no
3,0,3,16,18,0,33,no
4,0,3,16,19,0,66,no
3,0,3,16,18,0,33,no
3,0,3,16,18,0,33,no
3,0,3,16,17,0,33,no
5,0,3,16,21,0,55,no
4,0,3,16,18,0,66,no
0,0,1,14,12,0,0,no
0,0,1,14,7,0,0,no
3,0,1,14,7,0,0,no
2,0,3,16,16,1,0,no
