CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
3,0,2,0,50,0,2,11,4,0,2,NO
2,0,3,0,49,0,3,13,3,0,3,NO
2,0,3,0,49,0,3,17,3,0,5,NO
2,0,5,1,51,0,5,40,3,80,10,NO
2,0,2,0,50,0,2,9,4,0,2,NO
14,0,13,0,59,4,9,272,3,0,51,NO
2,10,2,0,48,0,2,9,3,0,2,NO
52,0,161,20,164,112,52,2786,1,92,1009,NO
3,0,48,16,50,41,7,2100,1,86,685,NO
1,0,12,5,12,0,12,80,1,48,17,NO
1,0,3,4,5,1,3,109,2,85,24,NO
0,0,36,15,36,0,31,351,1,83,67,NO
8,29,23,4,46,0,23,121,2,81,38,NO
0,0,5,8,7,0,7,39,1,94,7,NO
0,0,4,1,6,0,4,72,2,83,18,NO
3,0,5,1,5,0,4,37,1,0,10,NO
6,0,30,1,30,2,28,366,1,46,59,NO
3,0,7,0,15,0,7,54,2,0,10,NO
2,0,0,1,5,0,5,52,1,73,8,NO
0,0,1,0,3,0,3,18,1,0,4,NO
5,0,1,0,13,7,5,382,1,0,90,NO
0,0,1,0,2,1,1,64,1,0,10,NO
12,0,16,5,26,1,15,116,3,62,22,NO
4,0,14,2,24,0,14,73,3,50,20,NO
4,0,7,3,8,2,6,141,1,75,33,YES
4,0,4,4,4,0,4,54,1,56,10,NO
4,0,8,1,17,1,8,111,2,55,31,YES
3,0,8,1,16,0,8,91,2,50,21,NO
2,2,4,0,8,0,4,12,2,0,2,NO
0,0,4,3,4,0,4,19,1,50,4,NO
0,0,4,0,8,0,4,15,3,0,4,NO
0,0,4,0,8,0,4,15,3,0,4,NO
0,0,4,0,8,0,4,15,3,0,4,NO
3,0,7,0,15,0,7,82,2,0,20,NO
15,0,9,6,31,0,8,132,2,64,12,NO
7,0,7,0,15,0,7,156,2,0,37,NO
1,0,7,0,15,0,7,23,2,0,6,NO
9,0,0,0,14,5,0,555,1,0,100,YES
2,2,6,0,10,0,6,13,2,0,1,NO
0,0,3,2,3,0,3,15,1,33,3,NO
1,4,2,0,2,0,2,4,1,0,0,NO
0,0,0,0,0,0,0,3,1,0,0,YES
1,0,15,0,314,0,15,47,3,0,15,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,21,0,320,0,21,65,3,0,21,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,5,0,304,0,5,17,3,0,5,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,3,0,302,0,3,11,3,0,3,NO
5,0,4,0,303,0,4,26,3,0,7,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,11,0,310,0,11,37,3,0,13,NO
1,0,2,0,301,0,2,9,3,0,2,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,3,0,302,0,3,11,3,0,3,NO
1,0,3,0,302,0,3,11,3,0,3,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,5,0,304,0,5,17,3,0,5,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,9,0,308,0,9,29,3,0,9,NO
1,0,5,0,304,0,5,18,3,0,6,NO
2,0,0,0,6,0,6,20,1,0,6,NO
0,0,0,0,412,0,0,2,8,0,0,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,17,0,316,0,17,54,3,0,19,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
5,0,4,0,303,0,3,23,3,0,6,NO
0,0,1,0,300,0,1,5,3,0,1,NO
7,0,9,0,308,0,8,43,3,0,12,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,13,0,312,0,13,41,3,0,13,NO
1,0,17,0,316,0,17,54,3,0,18,NO
19,80,45,2,299,3,33,343,2,91,95,NO
3,2,8,1,307,0,5,37,3,37,11,NO
12,0,20,2,21,18,3,253,1,88,67,NO
17,0,3,0,12,3,7,136,1,0,39,NO
6,0,4,2,4,0,4,87,1,37,22,NO
5,1,57,1,356,0,55,207,3,96,66,NO
1,0,5,0,304,0,5,17,3,0,5,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,3,0,302,0,3,11,3,0,3,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,3,0,302,0,3,11,3,0,3,NO
1,0,15,0,314,0,15,47,3,0,15,NO
1,0,3,0,302,0,3,11,3,0,3,NO
1,0,5,0,304,0,5,17,3,0,5,NO
0,0,0,0,24,0,0,2,2,0,0,NO
1,0,9,0,308,0,9,29,3,0,9,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,15,0,314,0,15,48,3,0,16,NO
1,0,7,0,306,0,7,24,3,0,8,NO
1,0,5,0,304,0,5,18,3,0,6,NO
1,0,9,0,308,0,9,31,3,0,11,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,3,0,302,0,3,11,3,0,3,NO
1,0,4,0,303,0,4,15,3,0,5,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,12,0,319,0,12,40,4,0,14,NO
2,0,14,0,313,0,14,51,3,0,18,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
0,0,1,0,300,0,1,5,3,0,1,NO
1,0,8,0,315,0,8,27,4,0,9,NO
